  Temperatur [K]  |   Dichte[1/cmü]  |   Ionisationsgrad
      11789.7     |     3.13E+19     |      0.000109
      12968.7     |     1.00E+13     |      0.457523
      12968.7     |     3.16E+13     |      0.293683
      12968.7     |     9.99E+13     |      0.178204
      12968.7     |     3.16E+14     |      0.104638
      12968.7     |     9.97E+14     |      0.060303
      12968.7     |     3.15E+15     |      0.034388
      12968.7     |     9.96E+15     |      0.019493
      12968.7     |     3.15E+16     |      0.011013
      12968.7     |     9.94E+16     |      0.006210
      12968.7     |     3.14E+17     |      0.003498
      12968.7     |     9.93E+17     |      0.001970
      12968.7     |     3.14E+18     |      0.001108
      12968.7     |     9.91E+18     |      0.000624
      12968.7     |     3.13E+19     |      0.000351
      14265.6     |     1.00E+13     |      0.804028
      14265.6     |     3.16E+13     |      0.625366
      14265.6     |     9.99E+13     |      0.432849
      14265.6     |     3.16E+14     |      0.275255
      14265.6     |     9.97E+14     |      0.166095
      14265.6     |     3.15E+15     |      0.097218
      14265.6     |     9.96E+15     |      0.055926
      14265.6     |     3.15E+16     |      0.031859
      14265.6     |     9.94E+16     |      0.018050
      14265.6     |     3.14E+17     |      0.010194
      14265.6     |     9.93E+17     |      0.005748
      14265.6     |     3.14E+18     |      0.003237
      14265.6     |     9.91E+18     |      0.001822
      14265.6     |     3.13E+19     |      0.001026
      15692.1     |     1.00E+13     |      0.960733
      15692.1     |     3.16E+13     |      0.892835
      15692.1     |     9.99E+13     |      0.756733
      15692.1     |     3.16E+14     |      0.567567
      15692.1     |     9.97E+14     |      0.381762
      15692.1     |     3.15E+15     |      0.238366
      15692.1     |     9.96E+15     |      0.142297
      15692.1     |     3.15E+16     |      0.082779
      15692.1     |     9.94E+16     |      0.047455
      15692.1     |     3.14E+17     |      0.026981
      15692.1     |     9.93E+17     |      0.015269
      15692.1     |     3.14E+18     |      0.008618
      15692.1     |     9.91E+18     |      0.004857
      15692.1     |     3.13E+19     |      0.002735
      17261.4     |     1.00E+13     |      0.993053
      17261.4     |     3.16E+13     |      0.978677
      17261.4     |     9.99E+13     |      0.938092
      17261.4     |     3.16E+14     |      0.842289
      17261.4     |     9.97E+14     |      0.677532
      17261.4     |     3.15E+15     |      0.482728
      17261.4     |     9.96E+15     |      0.312961
      17261.4     |     3.15E+16     |      0.191038
      17261.4     |     9.94E+16     |      0.112559
      17261.4     |     3.14E+17     |      0.064994
      17261.4     |     9.93E+17     |      0.037104
      17261.4     |     3.14E+18     |      0.021046
      17261.4     |     9.91E+18     |      0.011894
      17261.4     |     3.13E+19     |      0.006709
      18987.5     |     1.00E+13     |      0.998650
      18987.5     |     3.16E+13     |      0.995752
      18987.5     |     9.99E+13     |      0.986814
      18987.5     |     3.16E+14     |      0.960522
      18987.5     |     9.97E+14     |      0.892332
      18987.5     |     3.15E+15     |      0.755872
      18987.5     |     9.96E+15     |      0.566572
      18987.5     |     3.15E+16     |      0.380915
      18987.5     |     9.94E+16     |      0.237768
      18987.5     |     3.14E+17     |      0.141916
      18987.5     |     9.93E+17     |      0.082549
      18987.5     |     3.14E+18     |      0.047321
      18987.5     |     9.91E+18     |      0.026904
      18987.5     |     3.13E+19     |      0.015225
      20886.2     |     1.00E+13     |      0.999755
      20886.2     |     3.16E+13     |      0.999073
      20886.2     |     9.99E+13     |      0.997034
      20886.2     |     3.16E+14     |      0.990732
      20886.2     |     9.97E+14     |      0.971816
      20886.2     |     3.15E+15     |      0.920153
      20886.2     |     9.96E+15     |      0.806274
      20886.2     |     3.15E+16     |      0.628280
      20886.2     |     9.94E+16     |      0.435533
      20886.2     |     3.14E+17     |      0.277239
      20886.2     |     9.93E+17     |      0.167392
      20886.2     |     3.14E+18     |      0.098010
      20886.2     |     9.91E+18     |      0.056393
      20886.2     |     3.13E+19     |      0.032129
      22974.9     |     1.00E+13     |      1.000892
      22974.9     |     3.16E+13     |      1.000070
      22974.9     |     9.99E+13     |      0.999351
      22974.9     |     3.16E+14     |      0.997681
      22974.9     |     9.97E+14     |      0.992660
      22974.9     |     3.15E+15     |      0.977483
      22974.9     |     9.96E+15     |      0.934901
      22974.9     |     3.15E+16     |      0.835646
      22974.9     |     9.94E+16     |      0.668063
      22974.9     |     3.14E+17     |      0.473368
      22974.9     |     9.93E+17     |      0.305746
      22974.9     |     3.14E+18     |      0.186214
      22974.9     |     9.91E+18     |      0.109575
      22974.9     |     3.13E+19     |      0.063225
      25272.4     |     1.00E+13     |      1.013224
      25272.4     |     3.16E+13     |      1.004201
      25272.4     |     9.99E+13     |      1.001149
      25272.4     |     3.16E+14     |      0.999771
      25272.4     |     9.97E+14     |      0.998058
      25272.4     |     3.15E+15     |      0.993533
      25272.4     |     9.96E+15     |      0.979996
      25272.4     |     3.15E+16     |      0.941607
      25272.4     |     9.94E+16     |      0.849722
      25272.4     |     3.14E+17     |      0.688356
      25272.4     |     9.93E+17     |      0.493609
      25272.4     |     3.14E+18     |      0.321435
      25272.4     |     9.91E+18     |      0.196735
      25272.4     |     3.13E+19     |      0.116095
      27799.6     |     1.00E+13     |      1.119639
      27799.6     |     3.16E+13     |      1.044067
      27799.6     |     9.99E+13     |      1.014729
      27799.6     |     3.16E+14     |      1.004572
      27799.6     |     9.97E+14     |      1.000875
      27799.6     |     3.15E+15     |      0.998445
      27799.6     |     9.96E+15     |      0.993771
      27799.6     |     3.15E+16     |      0.980415
      27799.6     |     9.94E+16     |      0.942657
      27799.6     |     3.14E+17     |      0.851952
      27799.6     |     9.93E+17     |      0.691649
      27799.6     |     3.14E+18     |      0.496958
      27799.6     |     9.91E+18     |      0.324062
      27799.6     |     3.13E+19     |      0.198509
      30579.5     |     1.00E+13     |      1.482893
      30579.5     |     3.16E+13     |      1.258299
      30579.5     |     9.99E+13     |      1.110952
      30579.5     |     3.16E+14     |      1.040402
      30579.5     |     9.97E+14     |      1.013297
      30579.5     |     3.15E+15     |      1.003661
      30579.5     |     9.96E+15     |      0.999195
      30579.5     |     3.15E+16     |      0.993579
      30579.5     |     9.94E+16     |      0.979075
      30579.5     |     3.14E+17     |      0.938829
      30579.5     |     9.93E+17     |      0.843758
      30579.5     |     3.14E+18     |      0.679636
      30579.5     |     9.91E+18     |      0.484825
      30579.5     |     3.13E+19     |      0.314586
      33637.5     |     1.00E+13     |      1.849561
      33637.5     |     3.16E+13     |      1.665010
      33637.5     |     9.99E+13     |      1.423549
      33637.5     |     3.16E+14     |      1.214190
      33637.5     |     9.97E+14     |      1.087753
      33637.5     |     3.15E+15     |      1.030888
      33637.5     |     9.96E+15     |      1.009462
      33637.5     |     3.15E+16     |      1.000732
      33637.5     |     9.94E+16     |      0.993030
      33637.5     |     3.14E+17     |      0.975830
      33637.5     |     9.93E+17     |      0.929781
      33637.5     |     3.14E+18     |      0.825034
      33637.5     |     9.91E+18     |      0.653278
      33637.5     |     3.13E+19     |      0.459030
      37001.2     |     1.00E+13     |      1.971178
      37001.2     |     3.16E+13     |      1.916441
      37001.2     |     9.99E+13     |      1.788127
      37001.2     |     3.16E+14     |      1.572396
      37001.2     |     9.97E+14     |      1.333142
      37001.2     |     3.15E+15     |      1.154302
      37001.2     |     9.96E+15     |      1.058918
      37001.2     |     3.15E+16     |      1.019240
      37001.2     |     9.94E+16     |      1.003351
      37001.2     |     3.14E+17     |      0.992001
      37001.2     |     9.93E+17     |      0.970049
      37001.2     |     3.14E+18     |      0.914198
      37001.2     |     9.91E+18     |      0.794645
      37001.2     |     3.13E+19     |      0.613309
      40701.4     |     1.00E+13     |      1.994515
      40701.4     |     3.16E+13     |      1.982969
      40701.4     |     9.99E+13     |      1.948936
      40701.4     |     3.16E+14     |      1.860350
      40701.4     |     9.97E+14     |      1.683035
      40701.4     |     3.15E+15     |      1.442979
      40701.4     |     9.96E+15     |      1.228091
      40701.4     |     3.15E+16     |      1.094554
      40701.4     |     9.94E+16     |      1.032585
      40701.4     |     3.14E+17     |      1.006864
      40701.4     |     9.93E+17     |      0.989998
      40701.4     |     3.14E+18     |      0.960446
      40701.4     |     9.91E+18     |      0.889793
      40701.4     |     3.13E+19     |      0.751051
      44771.5     |     1.00E+13     |      1.998833
      44771.5     |     3.16E+13     |      1.996325
      44771.5     |     9.99E+13     |      1.988522
      44771.5     |     3.16E+14     |      1.965011
      44771.5     |     9.97E+14     |      1.900253
      44771.5     |     3.15E+15     |      1.755579
      44771.5     |     9.96E+15     |      1.528973
      44771.5     |     3.15E+16     |      1.295339
      44771.5     |     9.94E+16     |      1.131266
      44771.5     |     3.14E+17     |      1.047291
      44771.5     |     9.93E+17     |      1.010331
      44771.5     |     3.14E+18     |      0.985920
      44771.5     |     9.91E+18     |      0.944797
      44771.5     |     3.13E+19     |      0.853432
      49248.7     |     1.00E+13     |      1.999719
      49248.7     |     3.16E+13     |      1.999113
      49248.7     |     9.99E+13     |      1.997204
      49248.7     |     3.16E+14     |      1.991244
      49248.7     |     9.97E+14     |      1.973086
      49248.7     |     3.15E+15     |      1.921557
      49248.7     |     9.96E+15     |      1.798835
      49248.7     |     3.15E+16     |      1.587395
      49248.7     |     9.94E+16     |      1.346592
      49248.7     |     3.14E+17     |      1.161962
      49248.7     |     9.93E+17     |      1.060037
      49248.7     |     3.14E+18     |      1.012066
      49248.7     |     9.91E+18     |      0.977808
      49248.7     |     3.13E+19     |      0.919666
      54173.5     |     1.00E+13     |      1.999924
      54173.5     |     3.16E+13     |      1.999760
      54173.5     |     9.99E+13     |      1.999242
      54173.5     |     3.16E+14     |      1.997612
      54173.5     |     9.97E+14     |      1.992511
      54173.5     |     3.15E+15     |      1.976891
      54173.5     |     9.96E+15     |      1.931918
      54173.5     |     3.15E+16     |      1.821246
      54173.5     |     9.94E+16     |      1.620270
      54173.5     |     3.14E+17     |      1.377654
      54173.5     |     9.93E+17     |      1.181512
      54173.5     |     3.14E+18     |      1.067577
      54173.5     |     9.91E+18     |      1.009843
      54173.5     |     3.13E+19     |      0.962551
      59590.9     |     1.00E+13     |      1.999977
      59590.9     |     3.16E+13     |      1.999928
      59590.9     |     9.99E+13     |      1.999772
      59590.9     |     3.16E+14     |      1.999281
      59590.9     |     9.97E+14     |      1.997733
      59590.9     |     3.15E+15     |      1.992889
      59590.9     |     9.96E+15     |      1.978029
      59590.9     |     3.15E+16     |      1.935058
      59590.9     |     9.94E+16     |      1.828225
      59590.9     |     3.14E+17     |      1.630872
      59590.9     |     9.93E+17     |      1.387853
      59590.9     |     3.14E+18     |      1.187428
      59590.9     |     9.91E+18     |      1.067530
      59590.9     |     3.13E+19     |      1.000943
      65550.0     |     1.00E+13     |      1.999992
      65550.0     |     3.16E+13     |      1.999976
      65550.0     |     9.99E+13     |      1.999925
      65550.0     |     3.16E+14     |      1.999762
      65550.0     |     9.97E+14     |      1.999249
      65550.0     |     3.15E+15     |      1.997631
      65550.0     |     9.96E+15     |      1.992571
      65550.0     |     3.15E+16     |      1.977071
      65550.0     |     9.94E+16     |      1.932409
      65550.0     |     3.14E+17     |      1.822296
      65550.0     |     9.93E+17     |      1.621669
      65550.0     |     3.14E+18     |      1.378279
      65550.0     |     9.91E+18     |      1.179400
      65550.0     |     3.13E+19     |      1.058370
      72105.0     |     1.00E+13     |      1.999997
      72105.0     |     3.16E+13     |      1.999991
      72105.0     |     9.99E+13     |      1.999973
      72105.0     |     3.16E+14     |      1.999914
      72105.0     |     9.97E+14     |      1.999729
      72105.0     |     3.15E+15     |      1.999143
      72105.0     |     9.96E+15     |      1.997299
      72105.0     |     3.15E+16     |      1.991539
      72105.0     |     9.94E+16     |      1.973966
      72105.0     |     3.14E+17     |      1.923921
      72105.0     |     9.93E+17     |      1.803765
      72105.0     |     3.14E+18     |      1.593976
      72105.0     |     9.91E+18     |      1.350856
      72105.0     |     3.13E+19     |      1.158458
      79315.5     |     1.00E+13     |      1.999999
      79315.5     |     3.16E+13     |      1.999997
      79315.5     |     9.99E+13     |      1.999989
      79315.5     |     3.16E+14     |      1.999966
      79315.5     |     9.97E+14     |      1.999894
      79315.5     |     3.15E+15     |      1.999665
      79315.5     |     9.96E+15     |      1.998942
      79315.5     |     3.15E+16     |      1.996667
      79315.5     |     9.94E+16     |      1.989578
      79315.5     |     3.14E+17     |      1.968125
      79315.5     |     9.93E+17     |      1.908325
      79315.5     |     3.14E+18     |      1.771321
      79315.5     |     9.91E+18     |      1.548472
      79315.5     |     3.13E+19     |      1.308069
      87247.0     |     1.00E+13     |      2.000000
      87247.0     |     3.16E+13     |      1.999999
      87247.0     |     9.99E+13     |      1.999996
      87247.0     |     3.16E+14     |      1.999986
      87247.0     |     9.97E+14     |      1.999955
      87247.0     |     3.15E+15     |      1.999859
      87247.0     |     9.96E+15     |      1.999555
      87247.0     |     3.15E+16     |      1.998595
      87247.0     |     9.94E+16     |      1.995580
      87247.0     |     3.14E+17     |      1.986229
      87247.0     |     9.93E+17     |      1.958298
      87247.0     |     3.14E+18     |      1.883116
      87247.0     |     9.91E+18     |      1.722676
      87247.0     |     3.13E+19     |      1.486069
      95971.7     |     1.00E+13     |      2.000000
      95971.7     |     3.16E+13     |      1.999999
      95971.7     |     9.99E+13     |      1.999998
      95971.7     |     3.16E+14     |      1.999994
      95971.7     |     9.97E+14     |      1.999980
      95971.7     |     3.15E+15     |      1.999937
      95971.7     |     9.96E+15     |      1.999800
      95971.7     |     3.15E+16     |      1.999369
      95971.7     |     9.94E+16     |      1.998009
      95971.7     |     3.14E+17     |      1.993748
      95971.7     |     9.93E+17     |      1.980630
      95971.7     |     3.14E+18     |      1.942289
      95971.7     |     9.91E+18     |      1.844499
      95971.7     |     3.13E+19     |      1.655526
     105568.9     |     1.00E+13     |      2.000000
     105568.9     |     3.16E+13     |      2.000000
     105568.9     |     9.99E+13     |      1.999999
     105568.9     |     3.16E+14     |      1.999997
     105568.9     |     9.97E+14     |      1.999990
     105568.9     |     3.15E+15     |      1.999970
     105568.9     |     9.96E+15     |      1.999905
     105568.9     |     3.15E+16     |      1.999699
     105568.9     |     9.94E+16     |      1.999050
     105568.9     |     3.14E+17     |      1.997006
     105568.9     |     9.93E+17     |      1.990629
     105568.9     |     3.14E+18     |      1.971240
     105568.9     |     9.91E+18     |      1.916518
     105568.9     |     3.13E+19     |      1.787685
     116125.8     |     1.00E+13     |      2.000000
     116125.8     |     3.16E+13     |      2.000000
     116125.8     |     9.99E+13     |      2.000000
     116125.8     |     3.16E+14     |      1.999998
     116125.8     |     9.97E+14     |      1.999995
     116125.8     |     3.15E+15     |      1.999985
     116125.8     |     9.96E+15     |      1.999952
     116125.8     |     3.15E+16     |      1.999849
     116125.8     |     9.94E+16     |      1.999522
     116125.8     |     3.14E+17     |      1.998490
     116125.8     |     9.93E+17     |      1.995252
     116125.8     |     3.14E+18     |      1.985219
     116125.8     |     9.91E+18     |      1.955353
     116125.8     |     3.13E+19     |      1.875634
     127738.3     |     1.00E+13     |      2.000000
     127738.3     |     3.16E+13     |      2.000000
     127738.3     |     9.99E+13     |      2.000000
     127738.3     |     3.16E+14     |      1.999999
     127738.3     |     9.97E+14     |      1.999997
     127738.3     |     3.15E+15     |      1.999992
     127738.3     |     9.96E+15     |      1.999975
     127738.3     |     3.15E+16     |      1.999920
     127738.3     |     9.94E+16     |      1.999747
     127738.3     |     3.14E+17     |      1.999201
     127738.3     |     9.93E+17     |      1.997482
     127738.3     |     3.14E+18     |      1.992105
     127738.3     |     9.91E+18     |      1.975654
     127738.3     |     3.13E+19     |      1.928413
     140512.2     |     1.00E+13     |      2.000000
     140512.2     |     3.16E+13     |      2.000000
     140512.2     |     9.99E+13     |      2.000000
     140512.2     |     3.16E+14     |      2.000000
     140512.2     |     9.97E+14     |      1.999999
     140512.2     |     3.15E+15     |      1.999996
     140512.2     |     9.96E+15     |      1.999986
     140512.2     |     3.15E+16     |      1.999956
     140512.2     |     9.94E+16     |      1.999860
     140512.2     |     3.14E+17     |      1.999558
     140512.2     |     9.93E+17     |      1.998605
     140512.2     |     3.14E+18     |      1.995611
     140512.2     |     9.91E+18     |      1.986320
     140512.2     |     3.13E+19     |      1.958524
     154563.4     |     1.00E+13     |      2.000000
     154563.4     |     3.16E+13     |      2.000000
     154563.4     |     9.99E+13     |      2.000000
     154563.4     |     3.16E+14     |      2.000000
     154563.4     |     9.97E+14     |      1.999999
     154563.4     |     3.15E+15     |      1.999997
     154563.4     |     9.96E+15     |      1.999992
     154563.4     |     3.15E+16     |      1.999974
     154563.4     |     9.94E+16     |      1.999919
     154563.4     |     3.14E+17     |      1.999745
     154563.4     |     9.93E+17     |      1.999196
     154563.4     |     3.14E+18     |      1.997465
     154563.4     |     9.91E+18     |      1.992053
     154563.4     |     3.13E+19     |      1.975488
     170019.7     |     1.00E+13     |      2.000000
     170019.7     |     3.16E+13     |      2.000000
     170019.7     |     9.99E+13     |      2.000000
     170019.7     |     3.16E+14     |      2.000000
     170019.7     |     9.97E+14     |      2.000000
     170019.7     |     3.15E+15     |      1.999998
     170019.7     |     9.96E+15     |      1.999995
     170019.7     |     3.15E+16     |      1.999985
     170019.7     |     9.94E+16     |      1.999952
     170019.7     |     3.14E+17     |      1.999848
     170019.7     |     9.93E+17     |      1.999519
     170019.7     |     3.14E+18     |      1.998482
     170019.7     |     9.91E+18     |      1.995226
     170019.7     |     3.13E+19     |      1.985134
     187021.7     |     1.00E+13     |      2.000000
     187021.7     |     3.16E+13     |      2.000000
     187021.7     |     9.99E+13     |      2.000000
     187021.7     |     3.16E+14     |      2.000000
     187021.7     |     9.97E+14     |      2.000000
     187021.7     |     3.15E+15     |      1.999999
     187021.7     |     9.96E+15     |      1.999997
     187021.7     |     3.15E+16     |      1.999991
     187021.7     |     9.94E+16     |      1.999970
     187021.7     |     3.14E+17     |      1.999906
     187021.7     |     9.93E+17     |      1.999702
     187021.7     |     3.14E+18     |      1.999061
     187021.7     |     9.91E+18     |      1.997040
     187021.7     |     3.13E+19     |      1.990731
     205723.9     |     1.00E+13     |      2.000000
     205723.9     |     3.16E+13     |      2.000000
     205723.9     |     9.99E+13     |      2.000000
     205723.9     |     3.16E+14     |      2.000000
     205723.9     |     9.97E+14     |      2.000000
     205723.9     |     3.15E+15     |      1.999999
     205723.9     |     9.96E+15     |      1.999998
     205723.9     |     3.15E+16     |      1.999994
     205723.9     |     9.94E+16     |      1.999981
     205723.9     |     3.14E+17     |      1.999940
     205723.9     |     9.93E+17     |      1.999810
     205723.9     |     3.14E+18     |      1.999401
     205723.9     |     9.91E+18     |      1.998110
     205723.9     |     3.13E+19     |      1.994061
